word,frequency_classification,definition,word_types,word_endings,sentences
mekeg,2,(Kecske) szaggatott hangot ad.,ige,~ni,"Az udvaron legalább öt kecske mekeg.,(bizalmas) (Ember) magas hangon, akadozva beszél.,Ne mekegj, beszélj érthetően, folyamatosan!"
mekkora,5,Milyen nagy?,"mn-i,nm",,"Mekkora a lakásotok?,(Főnévi használatban:) Mekkorát kérsz belőle?,(Csodálkozás kifejezésére:) Milyen nagy!,Mekkora ez a lány!,(Főnévi használatban:) Mekkorát nőtt ez a gyerek tavaly óta!"
méla,3,"(választékos) Szótlan, elgondolkodó.",mn,"*k,*t,*n","A fiatalember méla pillantást vetett rám.,„A vadász ül hosszú, méla lesben” (Vörösmarty M.: Szép Ilonka)., (gúnyos) Méla undor : elfojtott ellenszenv, utálkozás.,A hivatalnok méla undorral tekintett a későn jött ügyfélre."
mélabú,1,"(választékos) Búskomorság, levertség.",fn,,Kedélyére mostanában a mélabú jellemző.
melák,1,"(bizalmas) Jól megtermett, nehézkes mozgású férfi.",fn,"~ok,~ot,~ja","Két melákot állítottak a bejárathoz, hogy senki se juthasson be jegy nélkül.,(Jelzőként:) Azt a nagy melák férfit egy hét alatt elvitte a betegség."
meleg,5,Magas hőmérsékletű.,mn,"~ek,~et,~en","Meleg ételre vágyom.,Ősszel a madarak egy része melegebb vidékre költözik.,A testet a szükséges hőmérsékleten tartó.,Télire meleg cipőt, kabátot, sálat vásárolt.,Magas vagy magasabb hőmérsékleten végbemenő (folyamat).,Meleg formázással alakítják ki a csöveket.,Őszinte jóindulatból, szeretetből fakadó, szívből jövő (érzelem).,Meleg barátságot érzett iránta.,(bizalmas) Izgalmas, nehéz (időszak vagy helyzet).,Meleg helyzet volt!,A sárga vagy a piros felé hajló (szín, fény).,Meleg árnyalatú barna szemét felénk fordította.,A saját neméhez vonzódó.,A meleg párt sokan bámulták."
meleg,5,"Melegség, magasabb hőmérséklet.",fn,"~ek,~et,~e","Nemsokára jön a meleg.,Csukd be az ajtót, kimegy a szobából a meleg!,Meleg étel.,Egy hete nem ettünk semmi meleget.,Bensőséges érzés, viszony.,Szívünk egész melegével köszöntünk.,Saját neméhez vonzódó személy.,A melegek felvonulást szerveztek."
melegfront,3,"Meleg áramlat, amelytől az időjárás általában hirtelen melegre fordul.",fn,,Megfájdult a feje a melegfronttól.
melegház,1,"Fűtött növényház meleget, párás levegőt igénylő növények termesztésére.",fn,,A kora tavaszi salátát melegházban termesztették.
melegít,4,Valaminek a hőmérsékletét emeli.,ige,~eni,"Melegíti a tejet a reggelihez.,(Testet, testrészt) melegen tart.,Jól melegít az a kesztyű.,(Sportoláshoz) bemelegít.,A játékosok a pályán melegítenek."
melegpadló,1,Hőszigetelő anyaggal burkolt padló.,fn,,"A házgyári lakásokban általában a mellékhelyiségekben is melegpadló van, nem kő."
melegszívű,1,"Olyan, akiben sok együttérzés, szeretet van.",mn,"~ek,~t,~en","Jancsi melegszívű ember, ezért sokan szeretik."
melegvérű,1,"(ritka) Olyan, aki jól bírja a hideget.",mn,"~ek,~t","Melegvérű vagyok, nem veszek fel télikabátot.,(ritka) Heves, indulatos természetű (személy).,Ne bosszantsd fel azt a melegvérű fickót!,Élénk vérmérsékletű, könnyed mozgású (állat).,Az arabs ló rendkívül melegvérű állat.,(Főnévi használatban:) A melegvérűek : a meleg vérű gerinces állatok.,Az emlősök a melegvérűek közé tartoznak."
melenget,3,"Valamelyik testrészét tűzhöz, kályhához tartja, hogy a meleg átjárja.",ige,~ni,"Lábát a kályhánál melengeti.,Saját testével melegít valakit, valamit.,Összebújva melengetik egymást.,(választékos) (Tervet, érzést) tartósan magában forgat, dédelget.,Régóta melengeti ezt a szándékát."
mell,5,"Az emberi törzs elülső, felső része.",fn,"~ek,~et,~e","Lapos a melle.,Úgy mellbe lökték, hogy hanyatt esett., Dagad a melle az örömtől, a büszkeségtől : öröm, büszkeség tölti el.,| Valami mellbe vág valakit : hirtelen nagyon kellemetlenül érinti.,Ez a mondatod nagyon mellbe vágott!,Mellüreg, illetve a benne levő szervek.,Szúr a melle.,Női emlő.,Mellével táplálja a csecsemőjét.,Valamely szárnyas állat két szárny közti hasi része mint étel.,A csirke rántott melle a kedvenc étele.,(bizalmas) Mellúszás.,200 mellen nem került döntőbe."
mellbevágó,1,"(bizalmas) Igen meglepő, meghökkentő.",mn,"~k,vagy,~ak,~t,~an",Mellbevágó hírrel érkezett.
mellé,4,Valamely személy vagy tárgy egyik oldala közelébe.,nu,,"A kést a tányér mellé tette.,Valaki közelébe, környezetébe.,Az igazgató mellé osztották be.,Valakinek a pártjára.,Mindig a gyengébbek mellé kell állni."
mellé,4,"Valakinek, valaminek a közelébe.",ik,,"Mellérak, melléír, melléképzel.,Leírtam a véleményem, írd mellé a tiedet!,Félre, (a célt) eltévesztve.,Mellélő, mellényúl, melléüt.,Hogy lőhettél ennyire mellé?"
mellébeszél,2,A lényeget szándékosan elhallgatva beszél valamiről.,ige,~ni,"Ne beszélj mellé, mondd el, mi történt!"
melléfog,1,"Helytelenül cselekszik, téved.",ige,~ni,"Alaposan melléfogtál, amikor őt gyanúsítottad."
mellék,4,Valaminek a közelében fekvő terület.,fn,"~ek,~et,~e","A Balaton mellékén vett egy nyaralót.,Bejártuk a patak mellékét.,(bizalmas) (Távközlési) mellékállomás.,Kapcsolja a 23-as melléket!"
mellékel,4,(Hivatalos) küldeményhez hozzácsatol valamit.,ige,~ni,Kérvényéhez önéletrajzot is mellékelt.
mellékes,4,"Nem lényeges, kevésbé fontos.",mn,"~ek,~t,vagy,~et,~en","Mellékes, hogy mikor, csak jöjjön.,Nem a főfoglalkozásból származó (jövedelem).,Mellékes jövedelme is van.,(Főnévi használatban:) A mellékesből tud szórakozni."
mellékhajó,1,"A templom főhajójával párhuzamos, keskenyebb hajó.",fn,,"A nagy keresztény templomok általában háromhajósak, a főhajó mellett mindkét oldalon egy-egy mellékhajó helyezkedik el."
mellékhelyiség,2,"Lakás, épület használatához szükséges egészségügyi vagy gazdasági célú helyiség.",fn,,"A legfontosabb mellékhelyiségek az előszoba, a konyha, a fürdőszoba és a vécé, de sok lakásban kamra is van.,(szépítő) Illemhely.,Kint van a mellékhelyiség."
melléklet,5,"Valamihez csatolt kiegészítő irat, tartozék.",fn,"~ek,~et,~e","A levél mellékleteit is küldd el!,Újsághoz csatolt (képes) nyomtatvány.,A lap ünnepi mellékletében jelent meg a cikk."
melléknév,4,"Olyan szófaj, amely főnévvel megnevezhető személyek, dolgok, fogalmak valamely tulajdonságát jelöli.",fn,,A dolgozatban fel kellett sorolni a melléknevek főbb típusait.
mellény,4,"Az ing fölött viselt, derékig érő, ujjatlan ruhadarab.",fn,"~ek,~t,~e","Gombold be a mellényedet, mert hűvös van!"
mellesleg,4,"Mellékesen, nem a legfontosabbnak tartva valamit.",hsz,,"Mellesleg megjegyezte, hogy nem ér rá holnap.,Nem tetszett a könyv, mellesleg hosszú is."
mellett,5,"Valakinek, valaminek egyik oldala közelében.",nu,,"A fal mellett lopózott előre.,Valamely földrajzi hely közelében, környéken.,A Tisza mellett táboroztak.,Valakinek a környezetében, valakivel együtt.,Az anyja mellett dolgozik az üzletben.,Megmaradt a férje mellett.,Valaminek a kíséretében.,Cigányzene mellett vacsoráztak.,Valaminek a felhasználásával.,Lámpa mellett olvas.,Valakin, valamin kívül.,Két gyermeke mellett anyjáról is gondoskodik.,Valakinek, valaminek a pártján.,Kiállt barátja mellett."
mellkas,4,Az ember és az emlősök törzsének a mellcsont és a bordák által körülhatárolt elülső része.,fn,,Kidüllesztette a mellkasát.
mellkép,1,Valakit deréktól fölfelé ábrázoló kép.,fn,,A fényképész két mellképet készített róla.
mellől,5,"Valakinek, valaminek egyik oldalától.",nu,,"Menj el az ajtó mellől!,A kisfiú elszaladt az anyja mellől.,Valamely földrajzi hely közeléből, környékéről.,Debrecen mellől származik.,Valaki, valami közeléből, környezetéből.,Elkerült az igazgató mellől.,Fölállt az asztal mellől."
mellőz,4,(Cselekvést) nem hajt végre.,ige,~ni,"A kisebb javításokat most mellőzzük.,Nem tart fontosnak valamit, ezért figyelmen kívül hagyja.,Ezt a szempontot mellőzhetjük.,Igazságtalan, bántó módon háttérbe szorít valakit, nem vesz tudomást valakiről.,Úgy érzi, őt mindig mellőzik."
mellső,3,Valamely állatnak a melle oldalán levő.,mn,"~k,~t",A ló lesántult a mellső lábára.
mellszobor,3,"Valakit válltól, melltől, esetleg deréktól fölfelé ábrázoló szobor.",fn,,A sziget egyik sétányát mellszobrok díszítik.
mellúszás,2,"Mellen, azaz hason fekve, vízszintesen körben mozgatott karokkal való úszás.",fn,"~t,~a","Az úszómester mellúszásra oktatja a gyerekeket.,Mellúszásáról volt híres a versenyző.,Az ilyen úszás mint versenyszám.,Mellúszásban első lett."
mellvéd,1,"Várfal, híd, terasz stb.",fn,"~ek,~et,~je","szélén védelmül szolgáló, kb.,mellmagasságú fal vagy korlát.,A bástya tetején díszes mellvéd fut körbe.,Az emeleti erkélyre kovácsoltvas mellvédet szereltek."
melódia,3,Dallam.,fn,"*k,*t,*ja","Ismert melódiákat játszott a zenekar.,(szleng) Munka.,Holnap hétfő lesz, megint kezdődik a melódia."
méltán,4,"(választékos) Megérdemelten, jogosan.",hsz,,"Méltán dicsérték meg.,Indokoltan, okkal.,Méltán panaszkodik, őt valóban bántották."
méltányol,4,"Érdeme, értéke szerint elismer, értékel valakit, valamit.",ige,~ni,"Nem méltányolták kellően a teljesítményét.,Méltányolnunk kellene ezeket az embereket az erőfeszítéseikért!"
méltat,4,"Valakit, valamit érdemesnek, méltónak tart valamire.",ige,~ni,"Teljesítményét dicséretre méltatták.,Szóra se méltatták erőfeszítését.,Még válaszra sem méltatsz?,Valakinek, valaminek az érdemeit, kiválóságát dicséri.,A regény jelentőségét több kritika is méltatta."
méltatlan,4,"Valakihez, valamihez nem méltó (személy).",mn,"~ok,~t,~ul","A méltatlan utódok eltékozolták az örökséget.,Valakihez, valamihez nem illő (eljárás, viselkedés).,Ez a stílus méltatlan hozzá.,Igazságtalan, méltánytalan.,Az egész osztály megbüntetése méltatlan volt."
méltó,5,"Valamit megérdemlő, valamire érdemes (személy, dolog).",mn,"~k,vagy,~ak,~t,~n,vagy,~an","Jutalomra méltó a teljesítménye.,Őt találták méltónak az új film főszerepére.,Megérdemelt, jogos.,Mulasztásaiért méltó büntetést kapott."
méltóság,4,"Önérzet, önbecsülés.",fn,"~ok,~ot,~a","Tiszteld a női méltóságot!,Méltósággal viselte súlyos betegségét.,Valaminek tiszteletet parancsoló volta.,A sas röptének méltósága tetszett meg neki.,Magas rang, előkelő állás.,Miféle méltóságot viselt a királyi udvarban?, Méltóságán alulinak tart valamit : úgy véli, nem méltó hozzá.,Méltóságán alulinak tartotta, hogy szóba álljon velem.,Magas rangú személy.,Egyházi méltóságok is megjelentek az ünnepségen."
méltóságos,3,"(ritka, választékos) Méltóságot árasztó.",mn,"~ak,~at,~an","Méltóságos viselkedése tiszteletet parancsolt.,(régi) (Ilyen címzésre jogosult személyek megnevezésében, illetve megszólításában:) Méltóságos úr, méltóságos asszony, engedjék meg, hogy bemutatkozzam.,A méltóságos úrékat is meghívtuk vacsorára."
mély,5,Fölülről lefelé (viszonylag) nagy kiterjedésű.,mn,"~ek,~et,~en","A csövek lefektetésére mély gödröt ástak.,A medence közepén már mély a víz.,Befelé (viszonylag) nagy kiterjedésű.,A golyó mély sebet ejtett.,Mély lélegzetet vesz.,Alacsony vagy alacsony fokon levő.,Mélyen leszállított áron vásárolta a gyerekcipőket., Mélyre süllyedt : elzüllött.,Hogy süllyedhettél ennyire mélyre?,Alacsony rezgésszámú (hang).,Mély, férfias hangja minden nőt elbűvölt., Mély magánhangzó : a szájüreg hátulsó részében képzett ( a, á, o, u ).,A hangulat szóban csak mély magánhangzó van.,A lényegbe hatoló.,Szavai mély bölcsességről tanúskodtak.,Teljes lélekkel átélt.,A tragikus hír hallatán mély fájdalom töltötte el.,(Kifejezésekben:) Teljes.,A belépő igazgatót mély csend fogadta.,Mély álomba merült."
mély,3,Mélység; valaminek a legalsó vagy legbelső része.,fn,"~et,~e","Ne nézz le a mélybe, mert elszédülsz!,A mélybe vetette magát.,A föld mélye még sok titkot rejt.,Szívének mélyébe vagy mélyére rejtette érzelmeit."
mélyed,3,(Súlyánál fogva) belesüllyed valamibe.,ige,~ni,"A kerék a sárba, a mocsárba mélyedt.,Élével mélyen hatol valamibe.,A fúró a fába mélyedt.,Valamibe mélyed : teljes figyelmét valamely tevékenységnek szenteli.,Az olvasmányába mélyedt."
mélyeszt,1,(választékos) Valaminek a mélyére süllyeszt valamit.,ige,~eni,"A kulcsot a táskájába mélyesztette.,(Körmét, fogát) belevájja valamibe.,A kandúr nagyot fújt, és körmeit a karomba mélyesztette.,Fogát a ropogós almába mélyesztette., Szemét valamibe mélyeszti : figyelmesen nézi.,Szemét szemembe mélyesztette, majd komoly hangon megszólalt."
mélyhűtött,3,Gyorsfagyasztással tartósított.,mn,"~ek,~et,~en",A húshoz mélyhűtött zöldséget párolt.
melyik,5,"A. Kérdő (Több személy, dolog közül az egyik felől tudakozódva:) Melyik a barátod?",nm,,"Melyik volt a te poharad?,Melyiket is kérted?,(Többes számú személyjellel:) A jelzett személyek, dolgok közül melyik?,Melyikőtök akar velem jönni?,B. Vonatkozó Amelyik.,Ki melyiket szereti, azt egye.,C. Határozatlan (Annak kifejezésére, hogy a szóban forgó egyedek tulajdonsága, állapota esetenként különböző:) Jól viselkednek a gyerekek?,– Melyik hogy."
mélypont,4,"(választékos) Valamire vonatkoztatva a lehető legalacsonyabb fok, mérték, színvonal.",fn,,Erkölcsileg mélypontra süllyedt.
mélyvasút,1,Mélyen a föld felszíne alatt közlekedő vasút.,fn,,A világ legnagyobb városaiban több száz kilométer hosszúságban mélyvasutat építettek.
memória,4,"Az a képesség, hogy emlékezünk.",fn,"*t,*ja","Már idős, de még jó a memóriája.,Számítógépnek vagy más automatikus berendezésnek mágneses szerkezeti eleme, amely adatokat, programokat tárol.,Kicsi a gép memóriája, ki kell cserélni."
mén,2,(választékos) Hím ló.,fn,"~ek,~t,~je","Arabs méneket tenyésztenek e helyen.,Ló, amelyen lovagolni szoktak.,Harci mének száguldottak el mellettük."
mendegél,3,"Lassan, kényelmesen megy.",ige,~ni,"Mentek, mendegéltek az erdőben."
mendemonda,3,"(rosszalló) Szóbeszéd, pletyka.",fn,"*k,*t,*ja",Sok mendemonda keringett róla.
menedék,4,"Védelmet nyújtó hely, ritkán személy.",fn,"~ek,~et,~e","Menedéket nyújtott a rászorulóknak.,Te vagy az utolsó menedékem!"
menedékház,2,Hegyvidéken levő turistaház.,fn,,"Ötórás gyaloglás után végre elérték a menedékházat, s ételen kívül szállást kaptak."
menedzser,4,"Vállalkozás, hivatal, intézmény szervezését, irányítását végző szakember.",fn,"~ek,~t,~e","A pályázatot a vállalat menedzseréhez kell benyújtani.,Művész vagy sportoló fellépéseit szervező üzletember.,A fellépés időpontját a művésznő menedzserével kell egyeztetni.,Sportklub, egyesület vezető tisztségviselője.,Menedzser lett az edzőből.,Ha rosszul játszik a csapat, nem a játékost küldik el, hanem a menedzsert."
menekít,2,Valamit (biztos helyre) ment.,ige,~eni,"A pénzt egy svájci bankba menekítette.,Valakit menekülésében segítve valahová juttat.,Az üldözött politikust sikerült külföldre menekíteni."
menekül,5,"Veszély, üldözés elől (valahova) szökik.",ige,~ni,"A letartóztatás elől külföldre menekült.,A rablók hetek óta menekülnek a rendőrök elől.,Valahova menekül : valahol oltalmat keres valami ellen.,Az eső elől a menedékházba menekült.,Valamibe menekül : vigasztalást keres benne valamivel szemben.,Bánatában az ivásba menekült.,Szabadulni igyekszik valakitől, valamitől.,Nem menekülhet gondjaitól."
ménes,2,Együtt legelő tenyészlovak csoportja.,fn,"~ek,~t,~e","„Méneseknek nyargaló futása Zúg a szélben” (Petőfi S.: Az Alföld).,Lótenyésztő gazdaság.,A ménestől ment nyugdíjba."
meneszt,3,"(Beosztott személyt) valahová, valamiért elküld.",ige,~eni,"A kézbesítőt menesztették a csomagért.,Talán küldöttséget menesszek hozzá, hogy bejöjjön a munkahelyére?,Állásából elbocsát valakit.,Menesztették a vállalattól."
menet,4,"Csoport, főként katonai alakulat rendezett gyaloglása.",fn,"~ek,~et,~e","Menetből támadunk.,Erőltetett menetben vonultak Németország felé.,Együtt haladó embercsoport.,Esküvői menetet láttunk a Mátyás-templom előtt.,A temetési menetben több ezer ember vonult az államfő végső nyughelye felé.,Menés, haladás.,Menet közben beszélni tilos!,Valaminek a lefolyása, egymásutánja.,Az események menete nem úgy alakult, ahogy szerette volna.,Valaminek egy szakasza.,A választások első menetében még elég jól szerepeltünk.,Ökölvívó-mérkőzésnek rendszerint háromperces, gongütéssel jelzett szakasza.,Az első menetben kétszer is padlóra küldte ellenfelét.,Csavarmenet.,Menetet vág a lemezbe."
menet,4,Valahova menés közben.,hsz,,Munkába menet beugrott a postára.
menetel,4,(Katonai) alakulat lépést tartva gyalogol.,ige,~ni,Hajnal óta megállás nélkül menetelnek.
menetjegy,3,(hivatalos) Utazási jegy.,fn,,"Megváltotta menetjegyét.,A kalauz még nem kezelte a menetjegyemet."
menetrend,4,"Rendszeresen közlekedő járművek indulásának, érkezésének előre kijelölt rendje.",fn,,"A vonatok már a nyári menetrend szerint közlekednek.,Az ezt tartalmazó könyv.,Adj egy menetrendet!,(bizalmas) Műsor, program.,Változik a menetrend, nem jött meg a vendégelőadó."
menettérti,1,Oda- és visszautazásra érvényes (jegy).,mn,"~ek,~t","Két menettérti jegyet kérek Szegedig!,(Főnévi használatban:) (bizalmas) Az egész családnak menettértit vett."
menhely,4,(régi) Menedékhely.,fn,,"Az üldözők elől futva menhelyet keresett.,(régi) Árva vagy otthontalan gyermekek (átmeneti) szállása.,Elhagyták a szülei, ezért most egy menhelyen él.,(régi) Idősek otthona.,A menhelyen már az unokák sem látogatták.,Hajléktalanok tömegszállása.,A januári fagyban az alkalmi éjszakai menhelyek is megteltek.,Elhagyott, gazdátlan háziállatokat, főként kutyákat (ideiglenesen) befogadó és ellátó intézmény.,A kutyát egy közeli menhelyről vitték haza a gyerekeknek.,A kóbor kutyákat összegyűjtik, és menhelyre szállítják."
menlevél,2,(régi) Bántatlanságot biztosító irat.,fn,,"Menlevelet kapott az uralkodótól, hogy szabadon járhasson-kelhessen az egész országban."
menő,4,"Olyan, aki, ami megy.","mn,mn-i,in","~k,~t","Az ablaka alatt menő embereket bámulja.,(bizalmas) Népszerű, neves.,Menő sportoló lett belőle.,Ő a legmenőbb srác a suliban.,(Főnévi használatban:) Egész nap a menőket bámulja a tévében.,(bizalmas) Divatos.,Mindig menő ruhákban jár."
ment,5,"Veszélyből, bajból kiszabadít valakit, valamit.",ige,~eni,"A megáradt folyóból mentette az embereket., (bizalmas, rosszalló) Menti a bőrét : menekül.,Senkivel sem törődött, csak a saját bőrét mentette.,Veszélytől óv valakit, valamit.,Életet mentettek a kivonuló katonák, halálos veszedelemből szabadították meg a szerencsétlenség túlélőit.,| (Sportban, tárgy nélkül:) Gólveszélyt elhárít.,Hazaadással mentett a csatár.,Vád ellen védelmez valakit, valamit.,Vallomásával menteni próbálta a vádlottat.,Viselkedését az sem menti, hogy végső soron neki volt igaza.,(Adatokat) a számítógép memóriájába vagy mágneslemezre stb.,másol.,Az eredményt egy külön fájlba mentsd!,(Tárgy nélkül:) Fontos, hogy gyakran ments, különben könnyen elveszhet a munkád!"
mente,2,"(régi) Prémes, zsinóros, rövid felsőkabát.",fn,"*k,*t,*je",A régi magyaros viselet egyik darabja a mente.
mente,1,Valakinek valahová menése.,fn,,"(- ban raggal határozószerűen:) Mentében : miközben megy.,Mentében visszanézett.,A piacra mentemben találkoztunk.,Folyó melléke.,„Kis lak áll a nagy Duna mentében” (Petőfi S.: Távolból)."
menteget,3,"Vád, szemrehányás alól tisztázni igyekszik valakit, valamit.",ige,~ni,"Hiába mentegeti lustaságát.,Nem kell mentegetned magad."
menten,4,"(választékos) Azonnal, késlekedés nélkül.",hsz,,Menten elájulok ettől a sok szörnyűségtől.
mentes,4,"Olyan, akiben, amiben valamely rossz tulajdonság nincs meg.",mn,"~ek,~t,vagy,~et,~en","Egész élete mentes volt az emésztő szenvedélyektől.,Valami alól felmentett.,Mentes a katonaság alól.,Az ilyen jövedelem mentes az adótól."
mentesít,3,"(hivatalos) Kötelesség alól felment valakit, valamit.",ige,~eni,"Alacsony jövedelme miatt mentesítették a helyi adók befizetése alól.,(választékos) Bajtól, veszélytől tartósan megvéd valamit.,A gát megépítésével az egész területet mentesítették az árvizektől.,Segítségként megszabadít valakit a terheitől.,A hétvégeken mentesítették a beteg ápolásától."
mentő,4,"Olyan, aki, ami valakit, valamit ment.","mn,mn-i,in","~k,~t,~n,vagy,~en","A vagyonát mentő bankár minden lehetőséget megragadott.,Mentő bizonyítékokat tártak a bíróság elé."
mentő,4,A mentést hivatásszerűen végző személy.,fn,"~k,~t,~je","Ki kell hívni a mentőket!,(bizalmas) Mentőszolgálat, illetve mentőautó.,Kórházba vitte a mentő."
mentőautó,3,Betegszállító autó.,fn,,A sérültet elsősegélynyújtás után elvitte a mentőautó.
mentőláda,2,Elsősegélynyújtáshoz szükséges felszerelést tartalmazó láda.,fn,,Kivette a sebkötöző szereket a mentőládából.
mentség,4,"Olyan körülmény, amellyel igazolni, menteni lehet valakit, valamit.",fn,"~ek,~et,~e","Nem találok rá mentséget.,Milyen mentséget tudsz felhozni arra, amit tettél?"
mentsvár,1,"(régi, választékos) Menedéket adó hely.",fn,,"A Börzsönyben egy kis erdészház volt a család mentsvára.,(átvitt) Utolsó mentsvára a zene volt."
menü,4,Előre meghatározott fogásokból álló (olcsóbb) vendéglői ételsor.,fn,"~k,~t,~je","Hozzon egy kímélő menüt!,(választékos) Ünnepi étrend.,Az esküvői menü egészen különleges volt."
menza,2,Diákétkezde.,fn,"*k,*t,*ja",Mit adnak ma a menzán?
meny,4,"A feleség, a férj szüleihez való viszonyában.",fn,"~ek,~et,~e","A menyét is éppúgy szereti, mint a lányát."
menyasszony,5,"Jegyben járó, eljegyzett leány.",fn,,"Már két éve menyasszony.,| Valakinek a menyasszonya : az általa eljegyzett leány.,A vacsorára menyasszonyával érkezett.,Ilyen nő az esküvője napján.,A menyasszony fején hosszú fehér fátyol volt."
menyasszonytánc,1,"Lakodalomban általában a férfi vendégeknek a menyasszonnyal járt tánca, amelyért az ifjú párnak rendszerint pénzajándékot adnak.",fn,,A menyasszonytánc végére csinos summa gyűlt össze.
menyecske,3,(népi) Fiatalasszony.,fn,"*k,*t,*je",Jól megforgatták a táncban a csinos menyecskét.
menyegző,3,"(régi, választékos) A házasságkötés a hozzá tartozó mulatsággal.",fn,"~k,~t,~je",A két királyi sarjnak pazar menyegzője volt.
menyét,2,Kisebb macska nagyságú ragadozó emlős.,fn,"~ek,~et,~je",Menyét járt a baromfiudvarban.
menny,5,(A keresztény hit szerint) az Isten és az üdvözültek lakóhelye.,fn,"~ek,~et,~e","„Mi Atyánk, aki a mennyekben vagy” (keresztény imádság kezdete).,(választékos) Az elképzelhető legnagyobb boldogság.,A mennyekben érzi magát.,(választékos) Égbolt.,„A magas menny holdas, csillagos” (Petőfi S.: Éj van…)."
mennybolt,3,(választékos) Égbolt.,fn,,Az éjszakai mennybolt félelmetesen szép volt.
mennydörgés,3,A villámlással együtt járó dörgés.,fn,"~ek,~t,~e",Távoli mennydörgés hallatszott.
mennyei,4,A mennyben lakozó vagy onnan eredő.,mn,"~ek,~t,~en","Mennyei angyalok szálltak elé.,Mennyei szózat hallatszott.,(túlzó) Csodálatos, pompás, rendkívül finom (étel).,Mennyei eledeleket ettek.,Felséges, mennyei lakomában volt része."
mennyezet,4,Helyiség födémje alulról tekintve.,fn,"~ek,~et,~e","A mennyezeten ragyogó kristálycsillárok függtek.,Valami fölé díszként emelt tető.,A trón mennyezetét pompás brokáttal vonták be."
mennyi,5,A. Kérdő Milyen mennyiségű?,nm,,"Mennyi kell?,Mennyi idő van?,Mennyi kétszer kettő?,Mennyien vannak?,(Felkiáltásban:) Milyen sok!,Mennyi könyv van itt!,B.,(régi) Vonatkozó Amennyi.,Ki mennyit érdemel, annyit kap."
mennyiség,5,Valaminek mérhető vagy megszámlálható nagysága.,fn,"~ek,~et,~e","Az évi csapadék mennyisége nem volt nagy.,Nem a mennyiség a fontos, hanem a minőség.,(Matematikában:) A dolgoknak számmal kifejezhető tulajdonsága.,Nézzük az állandó mennyiségeket."
mennykő,2,(népi vagy régi) Villámcsapás.,fn,~t,"Az éjjel mennykő csapott a diófába.,Mennykövek csapkodtak a szikla körül.,(bizalmas) (Szitkozódásban:) Csapjon belé a mennykő!,Mi a mennykőt akarhat itt?"
mennyország,4,(A keresztény vallás tanítása szerint) a halál után az üdvözültek tartózkodási helye.,fn,"~ot,~a","Felszállt a mennyországba.,(túlzó) Az elképzelhető legnagyobb boldogság.,A hetedik mennyországban érezte magát.,Ez számára a földi mennyország, a végtelen gyönyörűség."
meó,1,(kissé régi) Gyártmányok minőségét ellenőrző osztály.,fn,"~t,~ja","Az új termék átment a meón.,(bizalmas) Ellenőrzés.,Figyelmesen válogass, mert most következik a meó."
mer,5,Van bátorsága valamit megtenni.,ige,~ni,"Szembe mer szállni a bajokkal.,Valamivel dacolva vállalkozik valamire.,Hogy mertél anyádra kezet emelni?"
mer,4,(Folyékony vagy szemes anyagot) valamiből kiszed.,ige,~ni,"Merj magadnak a levesből!,Tiszta búzát mer a galamboknak."
mér,5,Valaminek mennyiségét meghatározza.,ige,~ni,"Folyamatosan méri a hőmérsékletet.,Te fogod mérni az időt.,(Árut) lemér.,Nekem többet mért, mint amennyit kértem.,Krumplit mér a piacon.,(Nagyságot, minőséget) valami máshoz viszonyít.,Teljesítményét a legjobbakéhoz lehet mérni., Egyenlő mértékkel mér : igazságos, nem részrehajló., Ütést, pofont stb.,mér valakire, valamire : ütéssel lesújt rá.,Óriási pofont mért az arcára.,(Terhes feladatot, kötelességet) ró valakire.,A sors nehéz életet mért rá."
mérce,4,"Hosszúság vagy magasság mérésére való, a mértékegység törtrészeit, illetve többszörösét is jelölő eszköz.",fn,"*k,*t,*je","Állj a mérce alá, lássuk, nőttél-e tavaly óta!,Követelmény mértéke.,Mindenkit egyenlő mércével kell mérni.,Nálunk nagyon magas a mérce."
mered,4,(ritka) Mereven feszül.,ige,~ni,"Görcsbe meredt a nyaka.,| Tágra mered : (szem) kidülled.,(Tekintet) mereven egy pontra irányul.,Szeme az ajtóra meredt.,Megdermed.,Ott álltam kővé meredve.,Előre vagy a magasba nyúlik.,Hatalmas kőfal meredt elénk.,Élesre fent vadászkés meredt az oldalának."
meredek,4,"Erősen emelkedő, illetve ereszkedő (felületű).",mn,"~ek,~et,~en","Meredek lépcső vezetett a lakáshoz.,Meredek hegy nyúlt a magasba.,Elindult lefelé a meredek lejtőn.,Hosszan, élesen előrevágott (labda).,Meredek labdát küldött ellenfele kapujába.,Meredeken : hirtelen fölfelé, merész ívben.,Meredeken repült a lándzsa.,(átvitt) Pályája meredeken ível fölfelé.,(szleng) Kockázatos, veszélyes.,Ez a vállalkozás nagyon meredek."
méreg,5,"Betegséget, esetleg halált okozó káros anyag.",fn,,"Lassan ölő mérget kevert az italába.,Az egészségre ártalmas étel, ital, élvezeti cikk.,Méreg neki a cigaretta.,Harag, düh.,Majd szétveti a méreg."
méregfog,2,"Mérgeskígyónak az a foga, amellyel mérgét áldozatába juttatja.",fn,,"A vipera áldozatába mélyesztette méregfogát., Kihúzza valaminek a méregfogát : megfosztja attól, amivel árthat."
