word,frequency,word_class,word_endings,example_sentences
luxus,4,fn,t a,"Fényűzés, pompa. A villa belülről is szemkápráztató luxussal volt berendezve. Az, ami meghaladja valaki anyagi erejét. irhabunda ma már nem luxus."
lüke,1,mn,,"Féleszű, ütődött. Lüke alak. Örökké engem bámul azzal a lüke arckifejezésével. (Főnévi használatban:) Ezt a lükét meg minek hoztad magaddal?"
lüktet,4,ige,ni,"Tedd ide a kezed, hogy lüktet az ér! ritmikusan áramlik. Minden érlökésre nyilallik. Fájdalmasan lüktet a nyílt seb. Élénk ütemben folyik. Lüktet a zene ritmusa. Lüktet az élet a forgalmas utcán."
lyuggat,1,ige,ni,Lyuggat valamit : lyukakat fúr valamibe. Lyuggatja a lemezt. Több helyen kilyukaszt valamit. Ne lyuggasd a zoknidat!
lyuk,5,fn,ak at a,"Kisebb, többnyire kerek nyílás. Lyuk van a cipőmön. A víz átfolyik a szűrő lyukain. Valaminek a belsejében levő kisebb Megtaláltuk a róka lyukát. (bizalmas, rosszalló) Kicsi helyiség, lakás. Ebben a szűk, sötét lyukban tengődtem éveken át. (Sportban használt kifejezésként:) a labda mellé rúg, a labda helyett a levegőt találja el."
lyukacsos,2,mn,ak at an,"~ak, ~at, ~an Olyan, amelyben sok lyuk van. A lyukacsos sajt a kedvencem. Lyukacsos anyag ritka szövésű. | Lyukacsos bőr tág pórusú. | Lyukacsos hímzés"
lyukad,2,ige,ni,"Lyukassá válik. Óvatosan húzd a rétestésztát, különben lyukad."
lyukaszt,4,ige,ani,Lyukaszt valamit : lyukat üt valamin. A kalauz lyukasztóval lyukasztja a menetjegyet.
ma i.,5,hsz,,"A mostani napon. Ma még nem ettem. Ma este moziba megyünk. egy héttel ezelőtt. Ma egy hete, hogy utoljára találkoztunk. Mához egy hétre egy hét múlva. Mához egy hétre indulunk Spanyolországba. Máról holnapra : egyik napról a másikra, hirtelen, váratlanul. Máról holnapra nem fog megoldódni ez a probléma. Mostanában, a mi korunkban. divat a keménykalap. Ma már ezt nem így gondolom."
ma ii.,5,fn,,"Csak a mának él, nem gondol a jövőjére."
macerál,2,ige,ni,"Nem hagy békén, zaklat valakit. Hagyd békén az öcsédet, ne maceráld! Meg-megfog, tapogat valamit. játékaimat macerálja. Ne maceráld a hajamat!"
maci,3,fn,k t ja,"(gyermeknyelvi) Medve, medvebocs. A gyerekek hét macit láttak az állatkertben. Karácsonyra egy barna macit kapott"
mackó,4,fn,k t ja,"(bizalmas) (Fiatal) medve. A gyerekek kiflivéget hajigálnak a mackóknak az állatkertben. Medvét formázó játékszer. kisfiú még mindig a karácsonyra kapott mackójával megy aludni. (bizalmas, kissé régi) Tréningruha, melegítő. kirándulásra mackóban gyertek! (szleng) Páncélszekrény. Fiúk, rámoljátok ki gyorsan a mackót!"
macska,5,fn,,"Kerek fejű, nyúlánk testű, hosszú farkú ragadozó háziállat. A macska hasznos háziállat, mert megfogja az egeret. (bizalmas) (Kacér) fiatal nő. Nézd azt a csinos kis macskát!"
macskakő,2,fn,,"Útburkolatként használatos kisebb, domború kő. Rázkódik az autó a macskaköveken."
macskaköröm,2,fn,,"A macska körme. A macskaköröm nagyon éles, vigyázz, legyél a macskával óvatos! (bizalmas) Idézőjel („ ”). Macskakörmök közé tette a címet. (bizalmas) A sor ismétlésének jele a következő sorban (– ” –). Macskakörmöt tett az első versszak utolsó sora után."
macskamosdás,1,fn,t a,"fn (bizalmas) Gyors, hanyag mosdás. Ez csak afféle macskamosdás, este fürödj meg rendesen!"
macskaszem,1,fn,,A macska szeme. Figyelő macskaszemek kísérték a mozdulatait. Fényvisszaverő prizmából álló üveg- vagy műanyag lap. Minden autó és kerékpár hátulján van piros macskaszem. Ékkőnek használatos zöldesszürke féldrágakő. Macskaszem van a Macskaszem nyakláncot kapott ajándékba.
macskaugrás,1,fn,ok t,Kis távolság. Csak egy macskaugrásra van az iskola.
macskazene,1,fn,,"fn (rosszalló) Hamis, túl hangos zene. Sérti a fülem ez a macskazene. Fülsértő lárma, zajongás valakinek a bosszantására, kigúnyolására. A népszerűtlen politikus ablaka alatt éjjel macskazenét adtak."
madár,5,fn,,"madarak, madarat, madara Kétlábú, szárnyas, meleg vérű gerinces állat. A madarak tojásokkal szaporodnak. Mifelénk ritka madár az irigység."
madarász,2,fn,ok t a,"Madarak fogásával, idomításával foglalkozó személy. A madarász léppel fogta a madarakat, hogy a vásárban eladja őket. Némelyik madarász az elfogott madarakat idomította is, például beszélni tanította."
madárijesztő,2,fn,k t je,"Ember alakú bábu, váz régi, ócska ruhával, rongyokkal teleaggatva. A kertbe, a mezőre, a szőlőbe madárijesztőt állítanak, hogy elriassza a kártékony madarakat. (rosszalló) Rosszul öltözött, csúnya, nevetséges külsejű személy. Mit akart itt ez a vén madárijesztő?"
madárlátta,1,mn,,"Hosszabb útról maradékként hazavitt (élelmiszer). Madárlátta kenyeret eszünk vacsorára, azt, amit a kirándulásról hoztunk"
madártávlat,2,fn,,"Olyan látószög, amilyen felülről a repülő madáré lehet. Madártávlatból fényképezték le a tájat, így az udvarokba is belátni."
madártej,2,fn,,"Tojássárgájából és tejből kevert, majd főzött, édes, híg krém, tojáshabból való galuskákkal. Uzsonnára a gyerekeknek madártejet készít."
madonna,4,fn,,"(Ábrázolásként:) Szűz Mária. A templom ékessége egy régi festmény, amelyen a Madonna látható a kis Jézussal. (választékos) Madonnaarcú fiatal nő. A bájos madonnát, a finom szépségű kisgyermekes fiatalasszonyt nyomban gondjaikba vették a társaság férfi tagjai."
madzag,4,fn,ok ot ja,"~ok, ~ot, ~ja Több szálból sodrott, kötözésre szolgáló anyag. A csomagot kösd át madzaggal, úgy biztonságos!"
maffia,4,fn,,"Titkos bűnszövetkezet. Eredetileg a szicíliai terrorszervezetet nevezték maffiának, ma azonban már sajnos a világ többi részén is sok ilyen működik."
mafla,3,mn,,"Lassú észjárású, félszeg. Mafla legény, nehezen boldogul az életben."
mag,5,fn,ok vak ot vat ja va,"Virágos növény termésében képződő szaporító szerv. Magot hint a földbe. Magról kelt növényeket termeszt. Kicsírázott a mag. Ne edd meg a meggy magját! (választékos) Hím ivarmirigyek váladéka, hím ivarsejt. A híres versenyló magját felhasználják tenyésztésre. (választékos, régi) Valakinek a leszármazottja. Magva szakad valakinek utóda nem lévén, kihal vele a család. Valaminek központi része, középpontja. Az üstökös magja széthullott. Valaminek a legkorábban kialakult Itt volt valamikor a város magja. Valaminek a lényege, fő része. Mondanivalójának az a magva, hogy egyezzek bele."
maga i.,5,nm,,"(A cselekvőre visszaható cselekvés jelölőjeként:) csak a saját személyével törődik. Amióta elhagyta a családját, csak magának él. Maga mögött hagy el- vagy lehagy. Minden emlékét maga mögött hagyta. Az összes vetélytársát maga mögött hagyta. Remélem, magaddal hoztad az útleveledet! Több órára magára hagyta egyéves gyermekét. eszméletre tér, (fel)ocsúdik. A műtét után hamarosan magához tért. tért magához a meglepetéstől. Nincs magánál eszméletlen, öntudatlan. Balesetet szenvedett, azóta nincs magánál. Befogadták maguk közé saját közösségükbe. Annak kifejezésére, hogy a jelzett dolog elszenved, illetve előidéz valamely cselekvést, folyamatot. A szivacs magába szívja a nedvességet. hagyja, hogy kér(lel)jék. Mondj igent, ne kéresd magad annyit! (Visszaható igéknek megfelelő szókapcsolatokban:) Szégyelli magát szégyenkezik. Szégyelld magad, amiért hazudtál nekem! Kitartóan védte magát a támadásokkal szemben. gyötörd magad egy semmiség miatt! : valahogyan viselkedik. Jól viseld magad a nagyiéknál! (Igekötős igék formális tárgyaként:) Ma éjjel végre kitáncolom magamat. Folyton agyondolgozza magát. Megint elszámítottam magamat. (Nyomatékosított birtokos jelzőként:) Saját. A maga ura akar lenni. A maga kenyerén él. A maga munkájával sincs megelégedve, hát még a másokéval! (Nem más, hanem) ő, illetve én, te, mi, ti, ők. Maga a miniszter nyilatkozott az ügyben. Ez az ember maga a megtestesült becsületesség. Magam vasalom az ingeimet. Magatok főzitek az ebédet? (2. személyhez szóló, nem tegező, hol kissé bizalmas, hol udvariatlan megszólításként:) Maga már itt van? Kerestem magát telefonon. Beszélni szeretnék magával. Maga ne szóljon bele! (Birtokos jelzőként:) Ez a maga könyve?"
maga ii.,4,hsz,,"Egyedül, magányosan. Maga maradt az üres lakásban. Öregségére maga maradt."
magabiztos,3,mn,ak at an,"~ak, ~at, ~an Öntudatos, határozott. Magabiztos viselkedése felhívta rá a figyelmet."
magánélet,4,fn,,"Valaki életének a hivatásszerű, közéleti elfoglaltságon kívüli része. A munkája teljesen lefoglalja, alig van magánélete. A magánéletben sokkal nyíltabb, barátságosabb, mint a hivatalában. A bulvársajtó sokat foglalkozik a sztárok magánéletével."
magánember,3,fn,ek t,"Valaki állásától, hivatásától, közéleti szerepétől függetlenül tekintve. Nem a cége képviseletében, hivatalos kiküldöttként, hanem magánemberként utazott a vásárra."
magánhangzó,4,fn,k t ja,"Többé vagy kevésbé nyitott szájüreggel képzett, zörej nélküli, szótagalkotó beszédhang (a, á, e, é, i, í, o, ó, ö, ő, u, ú, ü, ű). magyar nyelvben a magánhangzók közül a leggyakoribb az e. A magánhangzó betűjele. A „szín” szót hosszú magánhangzóval kell írni. Húzd alá a magánhangzókat!"
magániskola,2,fn,,Nem állami vagy egyházi irányítás alatt álló iskola. Fiát egy jó hírű magániskolába íratta be.
magánkéz,3,fn,,"Magánkézben van valami magánszemély tulajdona. Nagyobb profitot termel a cég, amióta magánkézben van. magánszemélynek eladja, privatizálja. A rendszerváltás után magánkézbe adták az üzemeket."
magánkívül,2,hsz,,"Eszméletlenül. Sokáig feküdt magánkívül, amikor az autó elütötte. (bizalmas) Felindult állapotban. Magamon kívül voltam"
magánlakás,2,fn,,"Egy személy, család lakása (a hivatal stb. helyiségével ellentétben). Az iroda mellett van egy magánlakás, oda nem léphetnek be az ügyfelek."
magánlevél,2,fn,,"Személyes jellegű, nem hivatalos levél. Ez magánlevél, tartalma csak rám tartozik."
magánóra,1,fn,,"Iskolán kívüli, fizetett különóra. A középiskolai angoltanár magánórákat is ad. Magánórákat vesz angolból, és matematikából"
magános,3,mn,ak t at an,"Egymagában álló (tárgy, természeti alakulat). Látod azt a magános csillagot? Egyedülálló, család nélküli. magános férfinak. (régi) Társtalan. Mindig magánosan sétál."
magánszemély,4,fn,,"fn (hivatalos) Hivatali kötöttség nélküli, csak önmagát képviselő személy. A raktárban vállalatokon és kereskedőkön kívül magánszemélyek is vásárolhatnak."
magántanár,2,fn,,"Különórákat adó, fizetett tanár. Érettségi előtt sok szülő a gyermeke mellé magántanárt fogad. egyetemi előadások tartására jogot szerzett tudós. Egyetemi magántanárként kereste kenyerét."
magántanuló,2,fn,,"Tanulmányait magánúton végző, nem nyilvános iskolába járó, a vizsgákra különórákon felkészülő tanuló. A barátom több helyen is eltörte a lábát, ezért a jövő hónaptól magántanuló lesz."
magántulajdon,4,fn,,"magántulajdon Egyes személyek birtokában levő tulajdon (vagyon, birtok, tőke stb.). A gyár magántulajdonban van, azé a családé, amelyiké az államosítás előtt volt."
magánúton,1,fn,,"határozóragos fn (Határozószó-szerűen:) Nem hivatalos úton, módon. Az ügyről csak magánúton szereztem tudomást. Magánúton tanul (nyilvános) iskolába járva, hanem egyénileg felkészülve."
magánügy,4,fn,,"Személyes, másra nem tartozó ügy. Ez az én magánügyem, ne avatkozz bele!"
magány,5,fn,t a,"Mások társaságától elzárkózva, visszavonultan, egyedül élő ember helyzete, állapota. Utolsó éveit teljes magányban töltötte."
magányos,5,mn,ak t at an,"Félreeső, elhagyatott (hely). A távolban egy magányos vár látható. Egyedül, családtalanul élő (személy). férfi és nő szeretne családot alapítani. Az idős emberek egy része magányosan él. (Főnévi használatban:) egyedüllétet, beiratkozott hát a magányosok klubjába. Társtalan, elhagyatott (személy). Mióta elutaztak a barátai, magányosnak érzi magát. Visszavonult, magának való, zárkózott. Magányos agglegényként él. Magányos bölény elzárkózó életmódot folytató, tekintélyes, általában idősebb férfi."
magas i.,5,mn,ak at an,"~ak, ~at, ~an Függőlegesen nagy kiterjedésű. Ez a kis fenyő magas fa lesz, 30 méterre is megnő. Magyarországon nincsenek igazán magas hegyek. Szépek a magas, nyúlánk lányok. Valamely szinttől függőlegesen nagy távolságra levő. A vadlibák magasan repülnek. Magas a vízállás, majdnem kiönt a folyó. Fölfelé nagy távolságra elható. Nem tudom elkapni ezt a magas labdát. Az átlagosnál nagyobb rezgésszámú (hang). Az énekesnőnek magas hangja van. Magas magánhangzó a szájüreg elülső részében képzett (e, é, i, ö, ü). A fehérítő szóban csak magas magánhangzó van. A megszokotton szellemileg, erkölcsileg felülemelkedő. Szónoklata magasan szárnyaló volt. Nem ért a magas politikához. Ez neki magas szellemi képességeit, érthetetlen számára."
magas ii.,4,fn,ok t at a,"A térnek a föld felszínétől nagyobb távolságra levő része. A magasban egy gólya száll. Magasat ugrik akrobata magasat ugrott a gumiasztalon. magasugrásban versenyez. A tízpróbázók most éppen magasat ugranak. választékos) Valaminek a teteje, felső része. Felhágtunk a bérc magasára."
magasiskola,2,fn,,"Lovaknak műlovaglásra való betanítása. Csak kevesen értenek a magasiskolához. Valaminek tökéletes módja, technikája. Tökéletes, mintaszerű játékával a gordonkázás magasiskoláját mutatta be."
magaslat,4,fn,ok ot a,"Lapos tetejű (kisebb) hegy, domb, földhát. Arra a magaslatra még föl kell jutnunk. (választékos) Valaminek a legmagasabb színvonala. Nem áll hivatása magaslatán."
magasles,1,fn,,"Vadászoknak fára, oszlopra szerelt leshelye. A vadászok fából épített, álcázott emelvényről, magaslesről figyelik a vadak"
magasl|ik,2,ige,ani,(választékos) Valami fölé vagy fölött (magasan) emelkedik. A falu fölött sziklás hegy magaslik.
magasröptű,2,mn,ek t en,"Fennkölt érzéseket, gondolatokat választékos nyelven kifejező (beszéd, írásmű). A vetítés előtt magasröptű előadást hallgathattak."
magasságos,2,mn,ak t at an,"A mennyben levő. Magasságos Isten! Már megint mi történt? (bizalmas, tréfás) Magas. A madarak elröpültek a magasságos égbe. (régi) Fenséges. A magasságos herceg is megjelent."
magasugrás,2,fn,t a,Magasra helyezett léc átugrása mint atlétikai versenyszám. A magasugrás is olimpiai versenyszám.
magasztal,4,ige,ni,"Áradozva dicsér, dicsőít valakit. Nem győzte magasztalni a színészeket."
magasztos,4,mn,ak t at an,"(választékos) Erkölcsi, szellemi érték szempontjából magas fokú. Magasztos lélek, szavai erőt adnak az embernek. Fennkölt, felemelő. Magasztos látvány tárult eléjük, ahogy a hegycsúcsról lenéztek."
magatartás,4,fn,ok t a,"Az a mód, ahogy környezetünkkel, az élet, a társadalom jelenségeivel kapcsolatban állást foglalunk. Öntudatos magatartása rokonszenves volt. Barátságos magatartása mindenkit meghódított. Jó hatású a határozott magatartás. megnyilvánulása. Kutatók, az etológusok vizsgálják az állatok magatartását. A tanulónak az iskolai közösségben való Kislányának az iskolában is kifogástalan a magatartása. Magatartásból ötöst kapott."
magatehetetlen,2,mn,ek t ül,"magatehetetlen Mások gondozására szoruló. Betegsége miatt magatehetetlen, testvére gondoskodik róla. Megmozdulásra képtelen. megkötözött fogoly magatehetetlen. Gyámoltalan, ügyetlen. Ne légy ilyen magatehetetlen!"
magaviselet,3,fn,et e,(választékos) Viselkedés. Kifogástalan magaviseletével kedvező benyomást gyakorolt vendéglátóira. Sajnos a gyermek magaviseletével problémák vannak.
magáz,3,ige,ni,"„Magá”-nak szólít valakit, illetve nem tegezve szól hozzá. Egyes tanárok nem tegezik a nagyobb lányokat, hanem magázzák"
magázód|ik,1,ige,ni,(Több személy) kölcsönösen magázza egymást. A szüleim magázódnak a szomszéddal. Közvetlen kollégák ritkán magázódnak.
magház,2,fn,,"Zárvatermő növénynek az az üreges része, amelyben a mag kifejlődik. A virág termőjének része a magház. Megetted az alma magházát is?!"
mágia,4,fn,,"Természetfölötti erőkben való hit, babona. Nem hisz a fekete mágiában. A természeti jelenségek befolyásolására végzett babonás művelet, szertartás. Ezen a gyönge csapaton semmiféle mágia sem segíthet, ki fog esni. A mágia hatására dörögni, villámlani kezdett az ég."
magiszter,1,fn,ek t e,"Egyetemet végzett személy, illetve maga a végzettség. A harmadik év után a hallgató eldönti, baccalaureatus marad-e, vagy folytatja tovább tanulmányait, s az ötödik év végén magiszter lesz."
magisztratúra,1,fn,,magisztratúra Magiszteri végzettség megszerzésével záruló egy- vagy másfél éves felsőfokú kiegészítő képzés. Magisztratúrára a tanulmányi átlagtól függően lehet jelentkezni.
máglya,4,fn,,"Keresztben egymásra rakott, majd meggyújtott fahasábok halmaza. Nagy tüzet gyújtottak, fahasábokból raktak máglyát. A középkorban máglyán égették meg az elítélteket. Eretneksége miatt máglyára ítélték. Olyan rakás, halom, amelyben az egyes elemek egymás fölé keresztbe vannak rakva. Az udvaron máglyába tornyozzuk a téglát."
mágnás,2,fn,ok t a,"(Nagybirtokos) főnemes. Széchenyi a mágnásokat, hercegeket, grófokat, bárókat akarta megnyerni a reformok ügyének."
mágnes,3,fn,ek t e,"Vasból, illetve vasércből való test, amelynek mágneses tere van, ezért bizonyos fémeket magához vonz. Az iránytűben mágnes mutatja az északi irányt. A varrónők mágnessel szedik össze a gombostűket."
mágneskártya,3,fn,,"Mágneses réteggel ellátott kártyaszerű lap, amelyen számítógéppel leolvasható adatokat tárolnak. A készpénz-automaták mágneskártyával működnek."
magnetofon,3,fn,ok t ja,Elektromágneses úton hangot rögzítő és lejátszó készülék. Van még kazettás és orsós magnetofonunk is. Felvesszük a hangversenyt magnetofonra.
magol,2,ige,ni,"(bizalmas, rosszalló) Gépiesen, szó szerint tanul. Hasznosabb gondolkodva tanulni, mint a tartalomra nem figyelve magolni."
magtalan,2,mn,ok t ul,"Mag nélküli (gyümölcs, növény). A mazsola magtalan szőlőből készül. (választékos, régi) Akinek nincs vagy nem lehet Azt hitték, hogy magtalan lesz, mert még nem született gyermeke."
magtár,3,fn,ak t at a ja,Gabona tárolására való épület. A gazdaságokban magtárakba hordták a kicsépelt gabonát.
mágus,3,fn,ok t a,"(Ókori vagy középkori) mágiával foglalkozó személy. Minden évben megtartják a mágusok találkozóját. szemfényvesztő. A mágus eltüntette, majd cilinderéből elővarázsolta a nyulat. (néha gúnyos) Rendkívül sikeres, szerencsés kezű (pl. edző). A mágus nem szívesen nyilatkozik a sajtónak."
magvas,3,mn,ak t at an,"Aminek magja van, illetve magokat termő. Birtokán főként magvas növényeket termeszt, például napraforgót. tárolására való. A kamrában van felakasztva a magvas tarisznya. (választékos) Tartalmasan tömör, lényegre törő. előadást tartott az új eredményekről."
magvaváló,2,mn,k t,"Magjától elváló húsú (gyümölcs). Magvaváló barackot tett el télire, azt könnyebb feldolgozni."
magvető,4,fn,k t je,A mag vetését végző személy. A magvetők munkáját a bő termés dicséri. Tavasszal magvető parasztok sorát látta a földeken. Eszme első terjesztője. Ő volt az új gondolat egyik magvetője.
magzat,4,fn,ok ot a,"Az anyaméhben fejlődő ivadék. Szíve alatt hordja magzatát. (régi, választékos) Valakinek a kisgyermeke. tekintett végig magzatán. (választékos) Állat kicsinye. A nőstény óvja magzatait a ragadozóktól."
magyal,1,fn,ok t ja,"Fényes, fogas levelű, fehér virágú örökzöld díszcserje. Kertjében most virágzik a magyal."
magyar,5,mn,ok t ul,"A főként Magyarországon élő, finnugor nyelvű néphez tartozó (személy), rá jellemző, vele kapcsolatos (dolog). tárgyi népművészetből nyílt kiállítás. Magyarán szólva világosan, őszintén, nyíltan. | (Főnévi használatban:) E nép, nemzet, illetve annak egy tagja. „Szétszórt hajával, véres homlokával Áll a viharban maga a magyar” (Petőfi S.: Élet vagy halál!) külföldön élő magyar idős korában hazatér Magyarországra. A legnagyobb magyar Széchenyi István. | a honfoglalás. Magyarországi. A bizottságban négy magyar és négy külföldi kapott helyet. A magyar gyerekek éveken át sikeresen szerepeltek a nemzetközi versenyeken matematikából. (Főnévi használatban:) A magyar nyelv. (tréfás) (Főnévi használatban:) Lenge magyarban Lenge magyarban jött ajtót nyitni."
magyaráz,5,ige,ni,"Szavakkal érthetővé igyekszik tenni valamit. A tanár magyarázza a matematikafeladatot. Órákon át magyarázott, mégsem értettük, mit akar. Rosszra magyarázza szavait rossz értelmet tulajdonít nekik."
magyarázkod|ik,3,ige,ni,"Cselekedetét, magatartását magyarázza, mentegeti. Udvariatlan viselkedése miatt hosszasan magyarázkodott."
magyarít,1,ige,ani,"(Idegen szót) magyarral helyettesít, magyarra fordít. A nyelvújítók sok idegen szót magyarítottak."
magyarkod|ik,1,ige,ni,"Magyar voltával hivalkodik. Nem az az igazi magyar, aki lépten-nyomon magyarkodik."
magyaros,4,mn,ak at an,"~ak, ~at, ~an A magyar népre, emberre jellemző. Gondolkodása, cselekedetei magyaros észjárásra vallanak. A magyar nyelv szabályainak megfelelő. Határozott és magyaros a stílusa. A magyarok ízlése, hagyománya, szokása szerinti. magyaros konyhát és viseletet. Magyaros verselés hangsúlyos verselés. Petőfi költészetére a magyaros verselés jellemző. (bizalmas) (Főnévi használatban:) Magyar szakos (diák, tanár). Ő volt a legjobb magyaros az évfolyamon."
magyarság,5,fn,ot a,"Valakinek, valaminek magyar volta. Büszke volt magyarságára. A magyar nyelv szabályainak való (valamilyen fokú) Jó magyarsággal beszél és ír. A magyarok összessége, illetve csoportja. A magyarság lélekszáma évek óta csökken. Vannak kapcsolatai az erdélyi magyarsággal."
magyartalan,2,mn,ok t ul,"(rosszalló) A magyar nyelv hagyományosan rögzített szabályaival ellenkező. Sok magyartalan kifejezést használ. A rádióban is gyakran hallható magyartalan beszéd. A nyelvet nem jól ismerő, idegen elemekkel keverő. Még elég magyartalanul beszél, pedig már öt éve Magyarországon él."
mahagóni,2,fn,k t ja,"Trópusi eredetű, értékes fa, illetve faanyag. Bútorait mahagóniból készíttette. Mahagóni karosszéket és íróasztalt"
maharadzsa,1,fn,,"Indiai fejedelem, uralkodó. A film főszereplője egy turbános maharadzsa, akit gyaloghintón visznek mindenhova."
máj,5,fn,ak at a,"A has jobb oldalán levő, az epét kiválasztó, az anyagcserében fontos szerepű belső szerv. Kórosan megnagyobbodott a mája a sok alkoholtól. Némely állatnak ez a szerve mint étel. Rántott májat készít vacsorára. (Kifejezésekben bizonyos emberi tulajdonságok, érzelmek vélt székhelyeként:) megbízhatatlan, csalafinta. | jólesik neki valami."
majális,3,fn,ok t a,"Májusban rendezett szabadtéri, általában táncos mulatság. Május első szombatján majális lesz a Városligetben."
majd,5,hsz,,"Nem most, hanem később. Majd felhívlak. (Fenyegetésül:) Majd adok én neki! (Gúnyos tiltakozásban:) fogja megmondani, mit tegyünk! (Kötőszóként:) Azután, utána. Nagyot sóhajtott, majd nekiült dolgozni."
majd,5,hsz,,"hsz (kissé választékos) Kis híján, majdnem. Majd elájultam, amikor hívatlanul betoppant. Szegény kislány majd elsírta magát."
majdan,4,hsz,,"hsz (régi, választékos) A (távoli) jövőben. „Hallotok majdan nagyon sok jajgatást” (Bornemissza P.)"
majolika,1,fn,,"Fényes felületű, ónmázas, díszes cserép. Iparművészként majolikát is készít. Majolika virágvázákat gyűjt."
majom,5,fn,,"majmok, majmot, majma Meleg égövi, általában fákon élő emlős. A majmok az emberrel együtt a főemlősök rendjébe tartoznak. A csimpánz a legfejlettebb aggyal rendelkező majom. Utánozó majom másokat felszínesen utánozó személy. Utánozó majom, állatkertbe való! (rosszalló) Hiú, kényeskedő ember. Az a majom mindent magára vesz, ami divatos."
majomszeretet,1,fn,,"majomszeretet fn (rosszalló) Elfogult, kényeztető, túlzott szeretet. Majomszeretettel szereti gyermekét."
majonéz,2,fn,ek t e,Tojássárgájából és étolajból készült ízesített mártás. A rántott halat majonézzel szereti.
major,2,fn,ok t ja,"Nagyobb gazdaságnak a határban fekvő része, a hozzá tartozó épületekkel. Tejért ment a majorba."
major,1,fn,ok t ja,"(régi; Fv, Va, Ka, Dv bizalmas) Már nem kapitány, előléptették, most már major."
majoránna,2,fn,,Illatos fűszernövény. Majoránnát ültetett a kertjébe. Ennek fűszerként használt szárított levele. Az ételbe egy kávéskanál morzsolt majoránnát tett.
majorság,1,fn,ok ot a,"A földesúr saját kezelésében levő birtokrész. A majorság élére új gazdatisztet állítottak. (népi) Baromfiak összessége, baromfiudvar. A majorságából él meg: csirkét és tojást ad el. Kisebb major, tanya. A gazda kiment a majorságba megnézni a"
majszol,3,ige,ni,"Az ételt rágcsálva, majd a szájában forgatva lassan eszik. A kisgyerek csokoládét majszol. Egész órán majszolt egy kiflit."
május,5,fn,ok t a,Az év ötödik hónapja. A május a legszebb hónap. Május első vasárnapján van anyák napja.
májusfa,2,fn,,"Május 1-jére virradóra falun a lányos házak ablaka elé állított feldíszített fa. Katiék háza elől sem hiányzott a májusfa. Épülő ház elkészült tetőszerkezetének legmagasabb pontjára tűzött, feldíszített faág. A házra kitűzték a májusfát."
mák,4,fn,ot ja,"Toktermést hozó, lila, piros vagy fehér virágú növény. A határban négy hektáron mák terem. E növény apró, kékes, olajos magva, illetve magvainak tömege. Sütés előtt még meg kell darálni a mákot. : szerencséje van."
makacs,4,mn,ok ak ot at ul,"Szándékához, véleményéhez az ésszerűség ellenére is ragaszkodó (személy), illetve ilyen személyre valló. szóltam már nekik, de ezek a makacs gyerekek csak nem jönnek be a hideg udvarról. Makacsul bizonygatta igazát. múló (állapot). Makacs köhögése nem enyhült. Ez a mosópor kioldja a makacs szennyeződést is."
makaróni,2,fn,k t ja,Makarónit ettek a pörkölthöz.
makk,4,fn,ok ot ja,"~ok, ~ot, ~ja A tölgyfa termése. Makkot szedtek az erdőben, aztán játékot készítettek belőle. Ilyen alakú ábrával jelölt kártyalap; a magyar kártya négy színe közül az egyik. Hímvessző vége. Az orvos megvizsgálta a makkot is."
makkegészséges,2,mn,ek et en,"makkegészséges ~ek, ~et, ~en Kicsattanóan, virulóan egészséges. Meggyógyult, hála Istennek, most makkegészséges."
makkol,1,ige,ni,(Sertés) az erdőben lehullott makkal táplálkozik. A disznók az erdőben makkolnak.
makog,3,ige,ni,"(Majom) szakadozott hangot ad. A fákon hangosan makognak a majmok. (gúnyos) (Ember) alig érthetően, szaggatottan Makogott valamit, de nem figyelt rá senki."
mákony,1,fn,t a,"(régi) Altatószer, ópium. Mákonyt tettek az italába, így azonnal elaludt. (választékos) Az a dolog, amely az öntudatot A szerencsejáték volt a mákonya, segített neki felejteni."
makrancos,2,mn,ak at an,"~ak, ~at, ~an Csökönyösen ellenszegülő. Szülei nehezen viselték makrancos természetét. Shakespeare egyik legvidámabb darabja A makrancos hölgy."
makulátlan,3,mn,ok t ul,(választékos) Tökéletesen tiszta. Makulátlanul fehér ingéhez jól illett a bordó nyakkendő. Hibátlan erkölcsű. Makulátlan jelleméért
mákvirág,2,fn,,"A mák virága. Nyílik a mákvirág. (gúnyos) Megrovást, büntetést érdemlő személy. Szép kis mákvirág az a fiatalember, kicsalta a pénzemet."
mál,1,fn,ok t at ja,Állatnak has alatti prémje. Róka máljából készült a gallér.
malac,4,fn,ok ot a,"Fiatal sertés, illetve ennek húsa. Az anyadisznó nyolc malacot fialt. Az ünnepi vacsora sült malac volt. (bizalmas) Illetlenül evő, maszatos gyermek. Ne légy már ilyen malac! (bizalmas) Illetlen viselkedésű, beszédű felnőtt. Az a férfi egy nagy malac. (bizalmas) (Jelzőként:) Illetlen. Malac vicceket mesél. Malac szerencséje van szemérmetlenül nagy. Tintafolt, paca. Csupa malac a füzete."
malachit,1,fn,ok ot ja,"~ok, ~ot, ~ja Zöld, kristályos féldrágakő. Ékszerdoboza malachittal van kirakva."
malackod|ik,1,ige,ni,"(Gyermek) magát bepiszkítva, rendetlenül eszik. Ne malackodjatok az asztalnál! Illetlenül beszél, viselkedik. Hölgytársaságban régebben nem illett malackodni."
